target_month,source_month,RR,NBJRR1,NBJRR5,NBJRR10
200612,200611,53.6,9.0,3.0,2.0
200701,200612,67.8,9.0,5.0,3.0
200702,200701,23.4,10.0,0.0,0.0
200703,200702,78.0,13.0,6.0,2.0
200704,200703,39.0,12.0,3.0,0.0
200705,200704,11.5,1.0,1.0,1.0
200706,200705,81.9,13.0,7.0,2.0
200707,200706,49.0,12.0,4.0,0.0
200708,200707,77.4,11.0,5.0,3.0
200709,200708,133.3,15.0,8.0,4.0
200710,200709,16.5,5.0,1.0,0.0
200711,200710,52.3,5.0,4.0,1.0
200712,200711,33.7,8.0,2.0,0.0
200801,200712,55.1,11.0,4.0,1.0
200802,200801,48.9,9.0,3.0,2.0
200803,200802,32.4,8.0,2.0,1.0
200804,200803,82.5,19.0,7.0,1.0
200805,200804,46.4,12.0,3.0,0.0
200806,200805,62.1,8.0,3.0,1.0
200807,200806,18.0,5.0,1.0,0.0
200808,200807,40.7,7.0,3.0,1.0
200809,200808,53.9,7.0,2.0,2.0
200810,200809,28.6,6.0,1.0,1.0
200811,200810,72.5,11.0,5.0,2.0
200812,200811,50.1,14.0,3.0,0.0
200901,200812,32.9,10.0,2.0,0.0
200902,200901,51.8,10.0,4.0,1.0
200903,200902,51.2,10.0,4.0,1.0
200904,200903,29.6,9.0,2.0,0.0
200905,200904,39.2,8.0,3.0,1.0
200906,200905,62.2,9.0,4.0,2.0
200907,200906,65.1,8.0,5.0,3.0
200908,200907,32.2,10.0,2.0,0.0
200909,200908,7.5,2.0,1.0,0.0
200910,200909,20.1,5.0,2.0,0.0
200911,200910,50.2,10.0,3.0,2.0
200912,200911,60.4,16.0,4.0,1.0
201001,200912,72.9,15.0,8.0,1.0
201002,201001,35.4,7.0,3.0,1.0
201003,201002,52.6,12.0,3.0,2.0
201004,201003,38.7,9.0,4.0,0.0
201005,201004,15.8,3.0,1.0,0.0
201006,201005,55.4,8.0,5.0,1.0
201007,201006,72.8,7.0,4.0,2.0
201008,201007,70.9,5.0,3.0,2.0
201009,201008,46.9,12.0,3.0,1.0
201010,201009,66.3,9.0,5.0,2.0
201011,201010,39.5,8.0,3.0,0.0
